game_id,seed_group,round,position,speaker,role,silent,lr_pub,lr_full,dom_pub,dom_full,rand_pub,rand_full
s4g16,4,0,0,Charlie,Carrot,0,0.001685,0.003099,0.206299,0.215704,0.152826,0.078307
s4g17,4,0,0,Alice,Carrot,0,0.001863,0.009620,0.212175,0.248885,0.086479,0.106431
s4g18,4,0,0,Eve,Carrot,0,0.009241,0.011745,0.242927,0.250603,0.139254,0.065090
s4g19,4,0,0,Charlie,Parsnip,0,0.005565,0.039439,0.242948,0.287053,0.152590,0.086935
s0g0,0,0,1,Charlie,Carrot,0,0.003472,0.030064,0.222824,0.278146,0.503848,0.390540
s0g1,0,0,1,Charlie,Parsnip,0,0.002189,0.052826,0.232544,0.297512,0.618219,0.345465
s0g2,0,0,1,Alice,Carrot,0,0.002639,0.013958,0.218227,0.252259,0.618407,0.585240
s0g3,0,0,1,Alice,Carrot,0,0.001779,0.007443,0.217754,0.244775,0.666650,0.512899
s0g4,0,0,1,Charlie,Carrot,0,0.006907,0.018778,0.228698,0.261479,0.538578,0.435999
s0g5,0,0,1,Bob,Carrot,0,0.001610,0.008640,0.216926,0.250451,0.682553,0.647050
s0g6,0,0,1,Alice,Carrot,0,0.004033,0.017670,0.230038,0.263288,0.394211,0.511553
s0g7,0,0,1,Bob,Carrot,0,0.001040,0.002876,0.206062,0.223456,0.475965,0.475251
s0g8,0,0,1,Bob,Carrot,0,0.007011,0.008623,0.234217,0.240551,0.462397,0.491388
s0g9,0,0,1,Bob,Carrot,0,0.004873,0.017609,0.230807,0.263148,0.352996,0.489241
s0g10,0,0,1,Alice,Carrot,0,0.004899,0.009959,0.237659,0.249745,0.506199,0.548559
s0g11,0,0,1,Eve,Carrot,0,0.006093,0.013136,0.236915,0.256043,0.449496,0.458815
s0g12,0,0,1,Charlie,Parsnip,0,0.002853,0.049092,0.228239,0.293757,0.522400,0.378774
s0g13,0,0,1,Dave,Parsnip,0,0.019445,0.030102,0.262791,0.278223,0.623471,0.507883
s0g14,0,0,1,Dave,Carrot,0,0.001820,0.008292,0.212432,0.239334,0.654311,0.572497
s0g15,0,0,1,Charlie,Carrot,0,0.005018,0.007763,0.237036,0.242692,0.639035,0.508596
s0g16,0,0,1,Charlie,Carrot,0,0.020739,0.030097,0.267795,0.277213,0.441176,0.416913
s0g17,0,0,1,Eve,Parsnip,0,0.039831,0.156978,0.285303,0.325343,0.514337,0.445142
s0g18,0,0,1,Charlie,Carrot,0,0.003832,0.063799,0.229861,0.300984,0.390780,0.319599
s0g19,0,0,1,Charlie,Carrot,0,0.004508,0.011783,0.240898,0.255738,0.483000,0.449217
s1g0,1,0,1,Charlie,Carrot,0,0.021090,0.022817,0.268053,0.265648,0.911538,0.931054
s1g1,1,0,1,Dave,Carrot,0,0.001857,0.005688,0.210403,0.234460,0.967738,0.966260
s1g2,1,0,1,Alice,Carrot,0,0.003264,0.005677,0.218559,0.232864,0.898851,0.930465
s1g3,1,0,1,Charlie,Carrot,0,0.005171,0.008330,0.237485,0.244161,0.955667,0.966037
s1g4,1,0,1,Eve,Carrot,0,0.005966,0.015450,0.235071,0.259811,0.944617,0.936660
s1g5,1,0,1,Dave,Parsnip,0,0.015361,0.049411,0.267686,0.290268,0.952258,0.920175
s1g6,1,0,1,Charlie,Carrot,0,0.002331,0.005766,0.216946,0.235701,0.932156,0.968514
s1g7,1,0,1,Dave,Carrot,0,0.002813,0.009055,0.222974,0.245394,0.952131,0.949635
s1g8,1,0,1,Dave,Carrot,0,0.001106,0.007457,0.201699,0.241159,0.962649,0.967679
s1g9,1,0,1,Alice,Carrot,0,0.013896,0.023090,0.259569,0.275370,0.977145,0.940698
s1g10,1,0,1,Alice,Carrot,0,0.003457,0.017987,0.226210,0.266234,0.962477,0.948291
s1g11,1,0,1,Charlie,Carrot,0,0.015563,0.025049,0.267208,0.276402,0.903243,0.935387
s1g12,1,0,1,Dave,Carrot,0,0.002357,0.007490,0.219135,0.244556,0.955335,0.957625
s1g13,1,0,1,Alice,Carrot,0,0.006058,0.007620,0.239952,0.244114,0.952780,0.950568
s1g14,1,0,1,Dave,Carrot,0,0.001521,0.003093,0.210233,0.219560,0.963521,0.948509
s1g15,1,0,1,Eve,Carrot,0,0.000916,0.005264,0.192574,0.227638,0.988535,0.959437
s1g16,1,0,1,Charlie,Parsnip,0,0.043904,0.104781,0.291953,0.319955,0.950950,0.944098
s1g17,1,0,1,Dave,Parsnip,0,0.001846,0.029349,0.210878,0.277115,0.958553,0.931097
s1g18,1,0,1,Eve,Carrot,0,0.005158,0.012825,0.242047,0.257528,0.933675,0.946753
s1g19,1,0,1,Eve,Carrot,0,0.003298,0.015575,0.231050,0.260455,0.940637,0.935694
s2g0,2,0,1,Dave,Carrot,0,0.003992,0.006912,0.229023,0.241519,0.726033,0.730162
s2g1,2,0,1,Alice,Carrot,0,0.003493,0.009456,0.233655,0.251485,0.736659,0.771067
s2g2,2,0,1,Alice,Carrot,0,0.003231,0.028999,0.226182,0.277233,0.754050,0.758912
s2g3,2,0,1,Dave,Carrot,0,0.000853,0.003740,0.187800,0.221309,0.633682,0.619147
s2g4,2,0,1,Alice,Carrot,0,0.000501,0.002348,0.176634,0.210038,0.535254,0.687314
s2g5,2,0,1,Bob,Carrot,0,0.009910,0.015739,0.246012,0.258299,0.827249,0.798635
s2g6,2,0,1,Dave,Carrot,0,0.002426,0.009225,0.216600,0.245719,0.665688,0.691931
s2g7,2,0,1,Charlie,Parsnip,0,0.001373,0.030308,0.211568,0.279280,0.570754,0.713011
s2g8,2,0,1,Charlie,Carrot,0,0.001854,0.020461,0.216157,0.267906,0.762113,0.773551
s2g9,2,0,1,Bob,Carrot,0,0.002137,0.009940,0.210866,0.245044,0.865577,0.829527
s2g10,2,0,1,Dave,Carrot,0,0.005394,0.007619,0.237733,0.244403,0.732797,0.833929
s2g11,2,0,1,Dave,Carrot,0,0.001652,0.006952,0.208842,0.240412,0.705032,0.680196
s2g12,2,0,1,Bob,Parsnip,0,0.006795,0.025744,0.246373,0.274098,0.722335,0.723903
s2g13,2,0,1,Alice,Parsnip,0,0.004831,0.042753,0.236665,0.289187,0.757609,0.758361
s2g14,2,0,1,Eve,Carrot,0,0.003715,0.009222,0.229801,0.245582,0.624426,0.703486
s2g15,2,0,1,Charlie,Carrot,0,0.003887,0.007943,0.219830,0.240584,0.472143,0.700672
s2g16,2,0,1,Charlie,Parsnip,0,0.007142,0.032470,0.236449,0.275855,0.611398,0.707619
s2g17,2,0,1,Dave,Carrot,0,0.003354,0.006119,0.221796,0.237816,0.626408,0.668702
s2g18,2,0,1,Bob,Carrot,0,0.000960,0.003562,0.199215,0.223562,0.605079,0.714512
s2g19,2,0,1,Eve,Carrot,0,0.037028,0.027567,0.287059,0.277371,0.873576,0.858922
s3g0,3,0,1,Alice,Carrot,0,0.001830,0.006596,0.209940,0.238530,0.220950,0.279142
s3g1,3,0,1,Dave,Carrot,0,0.003745,0.006789,0.218435,0.233995,0.329246,0.301102
s3g2,3,0,1,Dave,Carrot,0,0.005149,0.012138,0.231149,0.248822,0.379989,0.346313
s3g3,3,0,1,Alice,Carrot,0,0.003409,0.016206,0.233760,0.262314,0.052043,0.283955
s3g4,3,0,1,Bob,Carrot,0,0.003291,0.007607,0.221438,0.239343,0.201428,0.339153
s3g5,3,0,1,Eve,Carrot,0,0.003406,0.009024,0.220175,0.243921,0.226835,0.247851
s3g6,3,0,1,Alice,Carrot,0,0.002170,0.003812,0.207909,0.224746,0.382922,0.260780
