game_id,seed_group,round,position,speaker,role,silent,lr_pub,lr_full,dom_pub,dom_full,rand_pub,rand_full
s4g16,4,0,1,Bob,Carrot,0,0.001082,0.012576,0.206183,0.256334,0.088648,0.071594
s4g17,4,0,1,Eve,Carrot,0,0.002522,0.014270,0.233854,0.263046,0.064539,0.078568
s4g18,4,0,1,Bob,Carrot,0,0.003202,0.031495,0.237619,0.281764,0.038614,0.061675
s4g19,4,0,1,Eve,Carrot,0,0.004569,0.026395,0.234370,0.273686,0.050551,0.062395
s0g0,0,0,2,Dave,Parsnip,0,0.001894,0.018990,0.216808,0.265512,0.361550,0.299150
s0g1,0,0,2,Eve,Carrot,0,0.002969,0.013350,0.235017,0.258157,0.461425,0.310233
s0g2,0,0,2,Eve,Carrot,0,0.000957,0.028894,0.207835,0.278791,0.635036,0.427843
s0g3,0,0,2,Eve,Carrot,0,0.001093,0.053867,0.217093,0.295906,0.464577,0.369900
s0g4,0,0,2,Eve,Carrot,0,0.001573,0.031019,0.223971,0.280546,0.446664,0.359750
s0g5,0,0,2,Eve,Parsnip,0,0.004296,0.030673,0.235852,0.277598,0.359386,0.357363
s0g6,0,0,2,Dave,Carrot,0,0.010258,0.033983,0.253029,0.282291,0.307842,0.292463
s0g7,0,0,2,Eve,Carrot,0,0.001412,0.037350,0.218213,0.284145,0.394463,0.367753
s0g8,0,0,2,Dave,Carrot,0,0.004881,0.026905,0.238368,0.275070,0.315894,0.339458
s0g9,0,0,2,Dave,Carrot,0,0.001632,0.021939,0.217982,0.270048,0.508201,0.327344
s0g10,0,0,2,Eve,Parsnip,0,0.005069,0.071315,0.244469,0.312292,0.593227,0.394470
s0g11,0,0,2,Bob,Carrot,0,0.001138,0.021117,0.212552,0.269892,0.509774,0.307868
s0g12,0,0,2,Alice,Carrot,0,0.002585,0.025103,0.218134,0.275724,0.407311,0.328319
s0g13,0,0,2,Alice,Carrot,0,0.005538,0.035756,0.246022,0.283399,0.400910,0.361688
s0g14,0,0,2,Bob,Carrot,0,0.003045,0.023005,0.234184,0.275535,0.439077,0.355175
s0g15,0,0,2,Bob,Carrot,0,0.002060,0.022295,0.220016,0.270160,0.518619,0.367637
s0g16,0,0,2,Alice,Carrot,0,0.004298,0.019858,0.241834,0.268786,0.572374,0.305270
s0g17,0,0,2,Alice,Carrot,0,0.002464,0.044242,0.239990,0.290785,0.550827,0.323273
s0g18,0,0,2,Eve,Carrot,0,0.005482,0.030469,0.237516,0.278537,0.307294,0.327359
s0g19,0,0,2,Alice,Carrot,0,0.003448,0.029836,0.239233,0.279623,0.531499,0.361357
s1g0,1,0,2,Dave,Carrot,0,0.001979,0.019430,0.225577,0.266939,0.948249,0.923949
s1g1,1,0,2,Bob,Carrot,0,0.004227,0.034995,0.251688,0.285115,0.954163,0.917590
s1g2,1,0,2,Charlie,Carrot,0,0.006383,0.341984,0.248278,0.361998,0.901908,0.927374
s1g3,1,0,2,Bob,Carrot,0,0.006747,0.033397,0.252275,0.282192,0.963958,0.927063
s1g4,1,0,2,Bob,Parsnip,0,0.003428,0.022928,0.229001,0.272146,0.916197,0.925284
s1g5,1,0,2,Bob,Carrot,0,0.003995,0.020345,0.234253,0.267659,0.932156,0.932153
s1g6,1,0,2,Eve,Carrot,0,0.004692,0.031603,0.244313,0.281973,0.961630,0.928718
s1g7,1,0,2,Alice,Carrot,0,0.001750,0.017922,0.209212,0.259918,0.949640,0.941547
s1g8,1,0,2,Charlie,Carrot,0,0.000959,0.012689,0.207001,0.254188,0.963574,0.946742
s1g9,1,0,2,Dave,Carrot,0,0.003065,0.034472,0.230482,0.281573,0.944799,0.924179
s1g10,1,0,2,Eve,Parsnip,0,0.005864,0.026919,0.244803,0.275941,0.837672,0.887334
s1g11,1,0,2,Bob,Carrot,0,0.004338,0.023584,0.233704,0.276418,0.941027,0.933889
s1g12,1,0,2,Charlie,Carrot,0,0.008742,0.020900,0.260680,0.268564,0.952492,0.938131
s1g13,1,0,2,Bob,Carrot,0,0.001498,0.058285,0.223340,0.301807,0.950730,0.927488
s1g14,1,0,2,Charlie,Carrot,0,0.003798,0.038871,0.227452,0.285718,0.947303,0.917884
s1g15,1,0,2,Dave,Carrot,0,0.004906,0.029644,0.234578,0.277391,0.979089,0.937468
s1g16,1,0,2,Dave,Carrot,0,0.010175,0.029115,0.253557,0.278031,0.954421,0.919425
s1g17,1,0,2,Charlie,Carrot,0,0.001595,0.017881,0.215862,0.264473,0.948616,0.943207
s1g18,1,0,2,Bob,Carrot,0,0.008639,0.030463,0.260019,0.278782,0.957271,0.925857
s1g19,1,0,2,Charlie,Parsnip,0,0.002593,0.019142,0.226226,0.267218,0.969576,0.956427
s2g0,2,0,2,Alice,Parsnip,0,0.003207,0.018922,0.228359,0.264020,0.710821,0.696065
s2g1,2,0,2,Bob,Carrot,0,0.005012,0.031227,0.247966,0.281530,0.766810,0.733559
s2g2,2,0,2,Bob,Parsnip,0,0.003581,0.015546,0.231466,0.262624,0.736101,0.752592
s2g3,2,0,2,Bob,Carrot,0,0.003762,0.039684,0.233901,0.289662,0.680793,0.792505
s2g4,2,0,2,Eve,Parsnip,0,0.004286,0.020092,0.233214,0.266540,0.595164,0.712543
s2g5,2,0,2,Eve,Carrot,0,0.004791,0.036493,0.234623,0.284350,0.660553,0.767858
s2g6,2,0,2,Charlie,Carrot,0,0.002754,0.025544,0.231735,0.275231,0.787920,0.781253
s2g7,2,0,2,Alice,Carrot,0,0.002750,0.032424,0.227093,0.283526,0.636697,0.744423
s2g8,2,0,2,Bob,Carrot,0,0.002143,0.027465,0.218765,0.276460,0.665466,0.744530
s2g9,2,0,2,Alice,Parsnip,0,0.002908,0.011156,0.228516,0.252100,0.561378,0.668490
s2g10,2,0,2,Alice,Carrot,0,0.004308,0.038677,0.241939,0.284915,0.668026,0.767995
s2g11,2,0,2,Eve,Parsnip,0,0.003715,0.028609,0.234946,0.277347,0.588121,0.723094
s2g12,2,0,2,Dave,Carrot,0,0.003146,0.026063,0.229274,0.275406,0.549945,0.724908
s2g13,2,0,2,Bob,Carrot,0,0.001625,0.039179,0.222828,0.287262,0.610144,0.757991
s2g14,2,0,2,Dave,Carrot,0,0.001813,0.026050,0.212445,0.275124,0.684010,0.753054
s2g15,2,0,2,Eve,Carrot,0,0.001911,0.024115,0.219160,0.272711,0.585199,0.729313
s2g16,2,0,2,Eve,Carrot,0,0.001685,0.013179,0.218067,0.255281,0.683396,0.737890
s2g17,2,0,2,Eve,Carrot,0,0.003570,0.037445,0.236107,0.284602,0.622031,0.743785
s2g18,2,0,2,Eve,Parsnip,0,0.001429,0.022510,0.209615,0.271303,0.580334,0.739910
s2g19,2,0,2,Bob,Carrot,0,0.003435,0.032491,0.237532,0.282672,0.535725,0.749861
s3g0,3,0,2,Eve,Carrot,0,0.001630,0.014368,0.215612,0.258705,0.071396,0.295221
s3g1,3,0,2,Bob,Carrot,0,0.002688,0.035175,0.237689,0.285622,0.070988,0.398539
s3g2,3,0,2,Bob,Carrot,0,0.006293,0.013213,0.240922,0.256258,0.246692,0.319288
s3g3,3,0,2,Bob,Carrot,0,0.006810,0.012244,0.243963,0.254989,0.227411,0.227154
s3g4,3,0,2,Dave,Parsnip,0,0.005578,0.026024,0.242862,0.272066,0.095528,0.360233
s3g5,3,0,2,Bob,Carrot,0,0.004220,0.029353,0.241488,0.280718,0.089511,0.432847
s3g6,3,0,2,Dave,Carrot,0,0.004148,0.019618,0.226258,0.265344,0.288712,0.415491
s3g7,3,0,2,Bob,Carrot,0,0.001950,0.045985,0.223985,0.291391,0.106308,0.442303
s3g8,3,0,2,Alice,Carrot,0,0.040056,0.075377,0.303127,0.306086,0.154326,0.408399
s3g9,3,0,2,Alice,Carrot,0,0.003253,0.021996,0.234156,0.270358,0.155303,0.352676
s3g10,3,0,2,Eve,Parsnip,0,0.002515,0.016934,0.218768,0.259308,0.160453,0.390083
s3g11,3,0,2,Eve,Carrot,0,0.013748,0.048546,0.270446,0.293821,0.152290,0.442876
s3g12,3,0,2,Charlie,Carrot,0,0.002045,0.014470,0.219576,0.258398,0.149819,0.299084
s3g13,3,0,2,Alice,Carrot,0,0.002271,0.023485,0.220909,0.271095,0.073775,0.393349
s3g14,3,0,2,Eve,Carrot,0,0.004004,0.049116,0.238000,0.293040,0.039217,0.431744
s3g15,3,0,2,Alice,Carrot,0,0.001288,0.017063,0.219350,0.263908,0.096839,0.407096
s3g16,3,0,2,Eve,Carrot,0,0.029423,0.029381,0.279568,0.275717,0.331606,0.345498
s3g17,3,0,2,Bob,Parsnip,0,0.005017,0.023689,0.239191,0.270360,0.181816,0.433935
s3g18,3,0,2,Alice,Carrot,0,0.005434,0.043303,0.236335,0.289824,0.086360,0.390321
s3g19,3,0,2,Alice,Carrot,0,0.001716,0.030467,0.226568,0.278844,0.089167,0.477679
s4g0,4,0,2,Bob,Carrot,0,0.003274,0.021438,0.227910,0.268907,0.103575,0.077656
s4g1,4,0,2,Dave,Carrot,0,0.016109,0.036637,0.266976,0.283587,0.031169,0.054550
s4g2,4,0,2,Dave,Parsnip,0,0.006133,0.022964,0.244208,0.270844,0.079502,0.089189
s4g3,4,0,2,Dave,Parsnip,0,0.003353,0.014062,0.228833,0.257198,0.123756,0.075056
s4g4,4,0,2,Alice,Parsnip,0,0.002353,0.007071,0.225754,0.243156,0.039295,0.046224
s4g5,4,0,2,Eve,Carrot,0,0.002424,0.024840,0.223933,0.273315,0.044204,0.060969
s4g6,4,0,2,Charlie,Carrot,0,0.002428,0.031541,0.232849,0.279561,0.021227,0.068697
s4g7,4,0,2,Dave,Carrot,0,0.001061,0.048267,0.212257,0.291865,0.053915,0.083219
s4g8,4,0,2,Dave,Carrot,0,0.123251,0.106052,0.326062,0.313718,0.052302,0.045479
s4g9,4,0,2,Eve,Carrot,0,0.021712,0.040925,0.275883,0.285660,0.059252,0.080500
s4g10,4,0,2,Bob,Parsnip,0,0.001126,0.018736,0.198315,0.263027,0.158088,0.095636
s4g11,4,0,2,Bob,Parsnip,0,0.006921,0.053689,0.244156,0.294340,0.081819,0.093840
s4g12,4,0,2,Eve,Carrot,0,0.005566,0.027663,0.253203,0.277641,0.053906,0.070471
s4g13,4,0,2,Alice,Parsnip,0,0.002194,0.031358,0.232857,0.280477,0.053057,0.074572
s4g14,4,0,2,Eve,Parsnip,0,0.005255,0.013763,0.244336,0.256748,0.285845,0.108524
s4g15,4,0,2,Bob,Carrot,0,0.005567,0.033161,0.248661,0.282978,0.061054,0.079118
s4g16,4,0,2,Eve,Carrot,0,0.005484,0.029864,0.237148,0.276497,0.041214,0.051559
s4g17,4,0,2,Charlie,Carrot,0,0.002919,0.026526,0.229639,0.278035,0.100456,0.052691
s4g18,4,0,2,Charlie,Carrot,0,0.030266,0.023723,0.277999,0.266324,0.038515,0.079324
s4g19,4,0,2,Bob,Carrot,0,0.002255,0.023710,0.224574,0.272839,0.088730,0.071024
s0g0,0,0,3,Eve,Carrot,0,0.008323,0.029381,0.252535,0.279039,0.344255,0.320901
s0g1,0,0,3,Dave,Carrot,0,0.018799,0.038502,0.284693,0.285884,0.666464,0.500772
s0g2,0,0,3,Charlie,Carrot,0,0.001865,0.030116,0.220095,0.276996,0.503302,0.386750
s0g3,0,0,3,Charlie,Carrot,0,0.002563,0.018486,0.225488,0.263494,0.455846,0.340902
s0g4,0,0,3,Alice,Carrot,0,0.002517,0.032495,0.242639,0.280084,0.278197,0.343937
s0g5,0,0,3,Charlie,Carrot,0,0.001717,0.026978,0.214200,0.274720,0.439472,0.350007
s0g6,0,0,3,Eve,Parsnip,0,0.003356,0.032192,0.221617,0.280875,0.308846,0.332715
s0g7,0,0,3,Dave,Carrot,0,0.001260,0.024837,0.216420,0.275062,0.558748,0.386365
s0g8,0,0,3,Alice,Carrot,0,0.001456,0.020891,0.211681,0.269383,0.411215,0.332132
s0g9,0,0,3,Eve,Carrot,0,0.004117,0.037467,0.239619,0.284348,0.380439,0.367861
s0g10,0,0,3,Dave,Carrot,0,0.003249,0.027073,0.239019,0.276872,0.613182,0.370565
s0g11,0,0,3,Dave,Parsnip,0,0.002362,0.023258,0.217169,0.268205,0.552649,0.386127
s0g12,0,0,3,Bob,Carrot,0,0.001211,0.046817,0.210821,0.293205,0.543669,0.509168
s0g13,0,0,3,Charlie,Carrot,0,0.003855,0.031450,0.238556,0.280801,0.280194,0.310779
s0g14,0,0,3,Eve,Carrot,0,0.000670,0.015352,0.201988,0.261858,0.543069,0.339911
s0g15,0,0,3,Alice,Parsnip,0,0.003558,0.044054,0.233126,0.291738,0.591320,0.364436
s0g16,0,0,3,Eve,Carrot,0,0.006403,0.023880,0.243342,0.270470,0.323652,0.317999
s0g17,0,0,3,Bob,Carrot,0,0.015198,0.047037,0.262920,0.293424,0.363266,0.413805
s0g18,0,0,3,Bob,Parsnip,0,0.009684,0.025484,0.252260,0.274718,0.381295,0.460003
s0g19,0,0,3,Bob,Carrot,0,0.016214,0.066120,0.276952,0.299330,0.636368,0.524964
s1g0,1,0,3,Eve,Carrot,0,0.002028,0.021364,0.225830,0.269544,0.955878,0.914558
s1g1,1,0,3,Alice,Carrot,0,0.003424,0.050875,0.229411,0.293479,0.937875,0.921719
s1g2,1,0,3,Bob,Carrot,0,0.072578,0.253269,0.330013,0.348524,0.895654,0.921858
s1g3,1,0,3,Dave,Carrot,0,0.006217,0.036052,0.240509,0.281855,0.938768,0.924883
s1g4,1,0,3,Charlie,Carrot,0,0.004597,0.028443,0.244608,0.277463,0.942820,0.925773
s1g5,1,0,3,Charlie,Carrot,0,0.005280,0.032451,0.235437,0.279887,0.969400,0.917943
s1g6,1,0,3,Dave,Carrot,0,0.014050,0.040424,0.263388,0.288776,0.943873,0.924152
s1g7,1,0,3,Eve,Carrot,0,0.008706,0.021828,0.258692,0.271993,0.964817,0.933306
s1g8,1,0,3,Bob,Carrot,0,0.003832,0.038912,0.239147,0.286381,0.976245,0.937829
s1g9,1,0,3,Bob,Carrot,0,0.004945,0.020162,0.242748,0.267287,0.936657,0.920019
s1g10,1,0,3,Bob,Carrot,0,0.005999,0.039232,0.241133,0.283754,0.926395,0.912633
s1g11,1,0,3,Dave,Parsnip,0,0.004715,0.031937,0.237183,0.281455,0.929530,0.918574
s1g12,1,0,3,Alice,Parsnip,0,0.000639,0.036481,0.240490,0.284575,0.890750,0.926750
s1g13,1,0,3,Charlie,Parsnip,0,0.003509,0.029245,0.239971,0.282512,0.963078,0.935596
s1g14,1,0,3,Alice,Carrot,0,0.002050,0.025093,0.222810,0.276023,0.948957,0.923980
s1g15,1,0,3,Alice,Parsnip,0,0.001002,0.026214,0.203662,0.273778,0.946035,0.938145
s1g16,1,0,3,Alice,Carrot,0,0.011191,0.037490,0.260464,0.284063,0.960673,0.934006
s1g17,1,0,3,Bob,Carrot,0,0.002423,0.026707,0.230479,0.275818,0.949262,0.926647
s1g18,1,0,3,Alice,Carrot,0,0.003832,0.025678,0.239365,0.275941,0.981718,0.942031
s1g19,1,0,3,Bob,Carrot,0,0.002290,0.045757,0.224995,0.292084,0.978311,0.927124
s2g0,2,0,3,Bob,Carrot,0,0.021498,0.024219,0.268097,0.271444,0.763802,0.751657
s2g1,2,0,3,Dave,Carrot,0,0.012845,0.034332,0.264165,0.281912,0.698552,0.754103
s2g2,2,0,3,Dave,Carrot,0,0.006151,0.035684,0.249591,0.285703,0.741522,0.743836
